State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Colorado,11/2/2019,"3,112",10/26/2019,"16,374","2,635,231",0.62
Colorado,11/9/2019,"2,318",11/2/2019,"16,845","2,635,231",0.64
Colorado,11/16/2019,"2,141",11/9/2019,"17,887","2,635,231",0.68
Colorado,11/23/2019,"2,302",11/16/2019,"17,971","2,635,231",0.68
Colorado,11/30/2019,"1,910",11/23/2019,"17,224","2,635,231",0.65
Colorado,12/7/2019,"3,162",11/30/2019,"19,664","2,635,231",0.75
Colorado,12/14/2019,"2,279",12/7/2019,"19,433","2,635,231",0.74
Colorado,12/21/2019,"2,360",12/14/2019,"19,837","2,635,231",0.75
Colorado,12/28/2019,"1,723",12/21/2019,"18,779","2,635,231",0.71
Colorado,1/4/2020,"2,431",12/28/2019,"21,391","2,635,231",0.81
Colorado,1/11/2020,"3,001",1/4/2020,"21,492","2,650,335",0.81
Colorado,1/18/2020,"2,522",1/11/2020,"21,104","2,650,335",0.8
Colorado,1/25/2020,"2,164",1/18/2020,"22,738","2,650,335",0.86
Colorado,2/1/2020,"2,049",1/25/2020,"21,560","2,650,335",0.81
Colorado,2/8/2020,"2,482",2/1/2020,"22,881","2,650,335",0.86
Colorado,2/15/2020,"2,209",2/8/2020,"22,076","2,650,335",0.83
Colorado,2/22/2020,"1,862",2/15/2020,"23,694","2,650,335",0.89
Colorado,2/29/2020,"1,681",2/22/2020,"22,409","2,650,335",0.85
Colorado,3/7/2020,"1,865",2/29/2020,"22,908","2,650,335",0.86
Colorado,3/14/2020,"2,321",3/7/2020,"21,260","2,650,335",0.8
Colorado,3/21/2020,"19,774",3/14/2020,"21,309","2,650,335",0.8
Connecticut,1/5/2019,"8,684",12/29/2018,"47,573","1,651,735",2.88
Connecticut,1/12/2019,"5,598",1/5/2019,"43,943","1,652,078",2.66
Connecticut,1/19/2019,"3,652",1/12/2019,"41,626","1,652,078",2.52
Connecticut,1/26/2019,"3,140",1/19/2019,"41,248","1,652,078",2.5
Connecticut,2/2/2019,"2,906",1/26/2019,"41,734","1,652,078",2.53
Connecticut,2/9/2019,"2,918",2/2/2019,"41,616","1,652,078",2.52
Connecticut,2/16/2019,"2,296",2/9/2019,"40,134","1,652,078",2.43
Connecticut,2/23/2019,"3,239",2/16/2019,"42,137","1,652,078",2.55
Connecticut,3/2/2019,"2,487",2/23/2019,"42,912","1,652,078",2.6
Connecticut,3/9/2019,"2,703",3/2/2019,"41,203","1,652,078",2.49
Connecticut,3/16/2019,"2,821",3/9/2019,"41,068","1,652,078",2.49
Connecticut,3/23/2019,"2,508",3/16/2019,"41,127","1,652,078",2.49
Connecticut,3/30/2019,"1,962",3/23/2019,"39,190","1,652,078",2.37
Connecticut,4/6/2019,"2,329",3/30/2019,"36,092","1,652,078",2.18
